cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
39258446,1,,AVENIDA,PAULISTA,2100,BELA VISTA,01310930,SP,7107,6470102,
40513430,1,,AVENIDA,CORIFEU DE AZEVEDO MARQUES,1401,BUTANTA,05581001,SP,7107,7111100,"4399101,7410202,8211300"
41211721,1,,AVENIDA,PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA,2000,JARDIM TARRAF II,15092415,SP,7097,4110700,6810201
37041341,1,,RUA,SANTO AMARO,27,BELA VISTA,01315001,SP,7107,8630503,
40775427,1,,RUA,COMENDADOR TORLOGO DAUNTRE,74,CAMBUI,13025270,SP,6291,4110700,"4120400,6810201"
37175228,1,PREVIDENCIARE TECNOLOGIA E SOLUCOES EM PAGAMENTOS,ALAMEDA,RIO NEGRO,1030,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAV,06454000,SP,6213,6209100,"6201501,6201502,6202300,6203100,6204000,6311900,6319400,6619302,6619399,7319002,7490104,7733100,8291100,8299799,8599603"
39264210,1,GREEN SEEDRS,AVENIDA,MAGALHAES DE CASTRO,4800,CIDADE JARDIM,05676120,SP,7107,3511502,"3511501,4221902,4221903,4221904,4321500,4399101,7112000"
40829408,1,,RUA,CARD ARCOVERDE,2450,PINHEIROS,05408003,SP,7107,6470101,
40666633,1,LIRIOS,RUA,DOS LIRIOS (VL S JOSE),28,PIRAPORINHA,09950500,SP,6377,8112500,
39938453,1,RESIDENCIAL PEROLA AZUL,RUA,NICARAGUA,306,GUILHERMINA,11702240,SP,6921,8112500,
39989430,1,ASSOCIACAO ESPORTIVA JAUENSE DE FUTSAL - AEJFUTSAL,RUA,DECIO SERRA,131,LOTEAMENTO RESIDENCIAL MARIA ISABEL,17215106,SP,6607,9319199,9319101
40169464,1,IGREJA EVANGELICA RIOS,RUA,BACURI,296,VILA PARAISO,07241540,SP,6477,9491000,
39155282,1,BASE SNEAKERS,RUA,JOAO ALFREDO,322,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,07224120,SP,6477,4781400,
39595024,1,,SITIO,ALVORADA,SN,ZONA RURAL,15650000,SP,6405,0121101,"0151201,0151202"
37041030,1,,RUA,PADRE ANTONIO PIRES DE PRADO,43,CENTRO,12260000,SP,6813,6912500,
40975631,1,,AVENIDA,DOUTOR JOSE BONIFACIO COUTINHO NOGUEIRA,150,JARDIM MADALENA,13091611,SP,6291,4110700,"6810201,6810202"
39913316,1,,AVENIDA,ALFREDO EGIDIO DE SOUZA ARANHA,374,VILA CRUZEIRO,04726170,SP,7107,8211300,7312200
40823740,2,,ALAMEDA,RIO NEGRO,500,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAV,06454000,SP,6213,7490104,5320201
38905313,2,,ESTRADA MUNICIPAL,DE PONTALINDA A DIRCE REIS KM 04,S/N,CORREGO DO MARIMBONDO,15718000,SP,2987,0139306,
41161643,2,,SITIO,SANTA LUZIA,160,MONTALVAO,19015970,SP,6929,0151201,"0111302,0119999,0121101"
40073030,2,,SITIO,SAO JOAO,S/N,ZONA RURAL,16450000,SP,6441,0116401,"0111302,0113000,0115600,0119999,0133409,0119903"
40299810,2,,RUA,RODRIGUES ALVES,240,CENTRO,16400090,SP,6643,4729602,"4721102,4729699,5611203"
37804765,2,CONDOMINIO RESIDENCIAL MERITO VILA MARIA,RUA,CURUCA,SN,VILA MARIA,02120001,SP,7107,4110700,
38430360,2,,SITIO,BOM JESUS,SN,ZONA RURAL,13375000,SP,6719,0113000,
39615736,2,,AREA,SITIO SANTA OLIMPIA - I,SN,AREA RURAL DE PIRACICABA,13433899,SP,6875,0113000,
40717487,2,,RUA,BRASILIA,80,ITAIM BIBI,04534040,SP,7107,4110700,
40012751,2,,SITIO,PREGUINHO,S/N,INDAIA DO AGUAPEI,17830000,SP,6421,0116401,
39403162,2,,RUA,JOAO CACHOEIRA,349,VILA NOVA CONCEICAO,04535010,SP,7107,4329104,"4120400,4211102,4299599,4311802,4313400,4319300,4321500,4322303,4329105,4391600,4399101,4399104,4614100,5250801,6461100,6463800,7020400,7111100"
38163236,2,,AVENIDA,ENG ARMANDO DE ARRUDA PEREIRA,774,JABAQUARA,04308000,SP,7107,5611203,"4723700,4729699,5611201"
39702755,2,,ESTANCIA,ISADORA,S/N,ZONA RURAL,15650000,SP,6405,0139306,
40945606,2,,SITIO,AGUA BRANCA,SN,ZONA RURAL,13399899,SP,6981,0113000,"0151201,0115600,0111302"
37764003,2,RESIDENCIAL FORLIFE EUCALIPTOS,AVENIDA,SOUZA RAMOS,315,GUAIANAZES,08490490,SP,7107,4110700,
41186463,2,,RUA,DOS COQUEIROS,1795,CAMPESTRE,09080010,SP,7057,4530703,4530705
37771689,2,,AVENIDA,PIRELLI,1331,EDEN,18103085,SP,7145,0151201,
37177058,2,RESIDENCIAL ARTEMIS,RUA,CEZAR RICOMI,311,JARDIM LUTFALLA,13560510,SP,7079,4110700,
38490679,2,,FAZENDA,TRES LAGOAS GLEBA A,SN,CAPIM,18240000,SP,6143,0210199,
37193028,2,,FAZENDA,A FAZENDINHA VI,S/N,RURAL,17410000,SP,6127,0111302,"0116401,0151201"
38820313,2,RESIDENCIAL VILLAGE GIOVANA,AVENIDA,MILENA PERUTICH,222,MELVI,11712030,SP,6921,4110700,
37845214,2,,AVENIDA,PAULISTA,302,BELA VISTA,01310000,SP,7107,7733100,8111700
39347974,2,,SITIO,SANTO AMARO,SN,SANTA TEREZA,13644899,SP,6887,0113000,
37628679,2,,ESTRADA,BAIRRO PAULISTINHA,S/N,ZONA RURAL,17950000,SP,6763,0113000,"0111301,0111302,0111399,0115600,0134200,0151201,0151202,0152102,0154700,0210101,0210107"
37628679,2,,ESTRADA,NOVA GUATAPORANGA,S/N,ZONA RURAL,17950000,SP,6763,0113000,"0111301,0111302,0111399,0115600,0134200,0151201,0151202,0152102,0154700,0210101,0210107"
37628679,2,,ESTRADA,BAIRRO CORREGO DO PAU D ALHO,S/N,ZONA RURAL,17970000,SP,7087,0113000,"0111301,0111302,0111399,0115600,0134200,0151201,0151202,0152102,0154700,0210101,0210107"
37628679,2,,ESTRADA VICINAL,"TPA 030 , EST VICINAL N. GUATAP. A M. CASTELO KM 1 + 45MT",S/N,ZONA RURAL,17930000,SP,7203,0113000,"0111301,0111302,0111399,0115600,0134200,0151201,0151202,0152102,0154700,0210101,0210107"
40571449,2,EDIFICIO RESIDENCIAL MOVE,RUA,GENERAL JULIO MARCONDES SALGADO,819,VILA SILVINHA,18602260,SP,6249,4110700,
38733087,2,CASARIA CAFE,RUA,HADDOCK LOBO,1012,CERQUEIRA CESAR,01414000,SP,7107,5611201,"1091102,4721102,5611203,5611204,7319099,8599699"
36866801,2,,ESTANCIA,W A,SN,ZONA RURAL,15320000,SP,6419,0139306,
38144741,2,,RUA,ALFREDO PUJOL,204,SANTANA,02017000,SP,7107,4110700,
36651034,2,,SITIO,SAO JOAO,SN,CORREGO DO FEIJAO,15755000,SP,7207,0139306,
37929204,2,,SITIO,SITIO SANTA CLARA,S/N,RURAL,13670000,SP,7051,0151201,"0113000,0111302,0115600,0116401"
36761208,2,,FAZENDA,SANTO ANTONIO,S/N,ZONA RURAL,15190000,SP,6753,0113000,
