cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
05413768,2,FAZENDA CASA BRANCA,AVENIDA,JAMARIS,100,PLANALTO PAULISTA,04078000,SP,7107,8219999,
09093910,2,,RUA,BARAO DO RIO BRANCO,240,FERRAROPOLIS,17400000,SP,6435,6619399,"6619302,7733100,7312200"
08526347,2,,RODOVIA,DR ANTONIO VILELA,KM 19,FAZENDA MACAUBAS,15340000,SP,6767,0113000,
07949812,2,,SITIO,SAO FRANCISCO,S/N,MAR DE ESPANHA,14900000,SP,6555,0113000,0111399
07937429,2,,ESTRADA,ARACATUBA AO BAIRRO DO CORREGO DO ROBERTO,KM 15,CORREGO DO ROBERTO,16010970,SP,6155,0151201,
07985651,2,,FAZENDA,FAZENDA IRACEMA,SN,RURAL,16400972,SP,6643,0113000,"0151202,0151201"
07997215,2,,RODOVIA,"LUIZ DOSVALDO SOBRINHO, KM 5",S/N,NOVA EUROPA,14920000,SP,6759,0116401,
05167627,2,LASTRO GESTAO,RUA,OSVALDO DE CAMPOS,185,CHACARA ALVORADA,13337210,SP,6511,6822600,"6463800,6810202,6821802,7490104,6810201,6810203"
08685918,2,,SITIO,SAO JOAO,S/N,BAIRRO DA GRAMA,14900000,SP,6555,0113000,
08636881,2,,FAZENDA,SANTA FE,S/N,ZONA RURAL,17380000,SP,6259,0116401,
08709729,2,,RODOVIA,LIX DA CUNHA,S/N,JARDIM IMPERIAL,13340200,SP,6511,0151201,
08341403,2,,SITIO,SAO MATEUS,S/N,AREA RURAL DE URUPES,15857899,SP,7221,0113000,
08269832,2,,FAZENDA,SANTA HELENA,0,ZONA RURAL,14200000,SP,7119,0113000,"0111302,0115600,0151201"
08412743,2,,FAZENDA,MONTEIRO LOBATO,SN,ZONA RURAL,17980000,SP,6809,0113000,
08557851,2,,ESTRADA,QUE LIGA FRANCA A CRISTAIS PAULISTA,S/N,ZONA,14460000,SP,6365,0134200,
07954874,2,,FAZENDA,BOA ESPERANCA,S/N,ZONA RURAL,14830000,SP,6975,0115600,
08164020,2,,SITIO,SAO JOSE I,SN,RURAL,14440000,SP,7091,0113000,"0115600,0111302,0111399"
07937315,2,,ESTRADA MUNICIPAL,GBM-155,KM-5,VACARI,16220000,SP,6431,0151201,"0112199,0113000,0115600"
08614487,2,,SITIO,SAO PEDRO,SN,ZONA RURAL,16210000,SP,6227,0113000,
08269741,2,,SITIO,SANTA EUGENIA,SN,ZONA RURAL,17960000,SP,6733,0113000,
08556512,2,,SITIO,SANTA HELENA,SN,COR DO MANGUE,15750000,SP,7015,0151201,"0151202,0111302"
08465594,2,,FAZENDA,COQUEIRO,S/N,ZONA RURAL,17280000,SP,6835,0113000,
08671685,2,,ESTRADA MUNICIPAL,QUE LIGA PIACATU AO BAIRRO STIVANELLI,"KM 8,0",STIVANELLI,16230000,SP,6855,0151203,0121101
08589680,2,,ESTRADA,BILAC AO BAIRRO DO CORREGO DA COLONIA,KM 7,CORREGO DA COLONIA,16210000,SP,6227,0134200,
08232347,1,,FAZENDA,SANTA CLARA AREA 2,S/N,RURAL,14870970,SP,6587,0113000,
08392204,2,,SITIO,SAO JOAO DO LARANJAL,SN,TAQUARANXIM,18500000,SP,6629,0113000,
08291716,2,,SITIO,MORRO ALTO,SN,ZONA RURAL,13399899,SP,6981,0113000,
08904220,2,,ESTANCIA,SANTA TEREZA,SN,CALANGO,19360000,SP,7055,0119999,0151201
08256710,2,,SITIO,SAO JOSE,SN,CASCAVEL,18809899,SP,6877,0113000,"0115600,0111302"
08451707,2,,ESTRADA,BAIRRO CORREGO DO MEIO,S/N,CORREGO DO MEIO,14910000,SP,7155,0113000,
08805355,2,,ESTRADA MUNICIPAL,ALTINOPOLIS/MONJOLINHO,S/N,GRANJA JOSE ROBERTO,14350000,SP,6119,0155505,0155502
09093910,2,,ESTRADA,DO CAMPO LIMPO,3980,PIRAJUSSARA,05787000,SP,7107,6619399,"6619302,7312200,7733100,8220200,8291100"
08844880,2,,SITIO,NOSSA SENHORA DE FATIMA -GLEBA A,S/N,RURAL,14160970,SP,7135,0113000,
07974011,2,,SITIO,RIBEIRAO BONITO,S/N,RIBEIRAO BONITO,18919899,SP,7029,0111302,"0111303,0115600,0111399"
08343492,2,RESIDENCIAL SOLANO,AVENIDA,CRISTIANO VIEIRA PEDRICO,557,VILA GUILHERME,18115390,SP,7243,4110700,
07998114,2,,SITIO,SAO CARLOS,S/N,ALEMANHA,13835000,SP,6345,0113000,
07933158,2,,FAZENDA,SANTO ANTONIO,S/N,CAPIM FINO,17860000,SP,6799,0151201,"0151202,0151203"
08615560,2,,FAZENDA,SIMONI,SN,RIBEIRA,18380000,SP,6957,0115600,"0119905,0111302,0111303"
08407057,2,,SITIO,ROCRIS,SN,BOM RETIRO,12900970,SP,6251,0111302,"0119999,0121101,0152102"
09080186,2,VERTIZ CLUB HOME VILA MASCOTE,RUA,JOAQUIM MORAIS,1700,VILA SANTA CATARINA,04370020,SP,7107,4110700,
08845676,2,ESPACOLASER,RUA,SONIA MARGY,97,PARQUE CASA DE PEDRA,02351000,SP,7107,8650004,9602502
08599551,2,,SITIO,PEDRINHA,SN,MATO DENTRO,18315000,SP,3057,0151202,"0151201,0119999,0111302,0115600,0119905"
09029884,2,,SITIO,PAI ETERNO,S/N,OASIS,17930000,SP,7203,0151201,
08355932,2,,SITIO,SANTA LUZIA,S/N,AURORA,17580000,SP,6901,0133402,
08010127,2,,SITIO,ZELINDA,S/N,ZONA RURAL,13710000,SP,7167,0113000,
06165908,2,,RODOVIA,ALTINO ARANTES,S/N,ZONA RURAL,14620000,SP,6787,0151201,
08775523,2,,SITIO,SAO PAULO,SN,ZONA RURAL SEDE,14540000,SP,6503,0113000,
08775523,2,,SITIO,SIRIEMA II,SN,ZONA RURAL,14540000,SP,6503,0113000,0115600
08816855,2,,ESTRADA,JAMBEIRO REDENCAO DA SERRA,S/N,PIRAI,12270000,SP,6599,0151202,0151201
07095113,2,EDIFICIO RESIDENCIAL CARAVAGGIO,RUA,RUI BARBOSA,439,CANTO DO FORTE,11700170,SP,6921,4110700,
08230501,2,,FAZENDA,RIO ACIMA,8500,RIO ACIMA,12500970,SP,6469,0151201,
08229372,2,RESIDENCIAL CENTRAL PARK,RUA,ALEIXO GARCIA,30,CATIAPOA,11390260,SP,7121,4110700,
07635498,2,TRAMONTINA STORE LAR CENTER,AVENIDA,OTTO BAUMGART,433,VILA GUILHERME,02049000,SP,7107,4759899,"4742300,4744001,4753900,4754701"
07604193,2,CNQ/CUT,RUA,MAJ DIOGO,632,BELA VISTA,01324000,SP,7107,9430800,"9493600,9499500"
07935259,2,,ESTANCIA,TRES IRMAOS,SN,BIQUINHA,19360000,SP,7055,0151201,
07915412,2,,FAZENDA,SAO JOAO,S/N,AREA RURAL DE JABOTICABAL,14897899,SP,6587,0116401,0115600
08703630,2,,SITIO,PIRACICABA,S/N,CABECEIRA BONITA,18944899,SP,7111,0119906,"0115600,0111302"
08703630,2,,SITIO,RIBEIRAO BONITO,S/N,CABECEIRA BONITA,18944899,SP,7111,0119906,0111302
08238411,2,,FAZENDA,AGUA LIMPA,SN,ZONA RURAL,15840000,SP,6539,0113000,
07949739,2,,SITIO,NOSSA SENHORA APARECIDA I,SP,ZONA RURAL,19570000,SP,6949,0115600,0111302
05664242,2,,AVENIDA,BRIG FARIA LIMA,3015,JARDIM PAULISTANO,01452000,SP,7107,6463800,6462000
09090871,2,,SITIO,SATO,SN,SECCAO ESPERANCA,17690000,SP,6215,0151201,0151202
07174845,2,,ESTRADA,"ESTRADA M.V. P/CONCHAL, CHACARA SAO PEDRO",S/N,CONCEICAO,13449899,SP,2949,2211100,"2219600,4530702,4530706,4619200,4693100"
07991279,2,,SITIO,DA ALDEIA,S/N,DA ALDEIA,14900000,SP,6555,0113000,
07955496,2,,FAZENDA,LARANJAL,SN,ZONA RURAL,15250000,SP,7215,0113000,"0139306,0151201"
08306869,2,,FAZENDA,ROD ANHANGUERA KM 419 A DIREITA,SN,RURAL,14500000,SP,6583,0113000,
08371475,2,,ESTRADA,MUNICIPAL MATAO A FAZENDA CAMBUHY,1,ZONA RURAL,15990970,SP,6687,0113000,
