cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
26257043,1,AGRO SINQUEL,AVENIDA,ROBERTO SIMONSEN,S/N,PARQUE BRASILIA,13211100,SP,6619,4692300,"4683400,4789002,5211799,7490103"
26431286,2,,CHACARA,SAO JOAO,S/N,MORRO ALTO,13480970,SP,6639,0131800,"0121102,0111302,0115600,0119906,0151203,0113000"
27491172,1,SP3S - EMPREENDIMENTOS IMOBILIARIOS,RUA,GENERAL CELSO DE MELLO REZENDE,215,PARQUE INDUSTRIAL LAGOINHA,14095270,SP,6969,4110700,4120400
27474554,2,,SITIO,SAO JOSE DO LAGO,SN,CAVEIRAS,13160000,SP,6175,0113000,
26710052,1,,RUA,ORENSE,41,CENTRO,09920650,SP,6377,6911701,
25158150,2,,SITIO,BOA SORTE,SN,ZONA RURAL,15730000,SP,6683,0133404,0151201
23855999,2,,RODOVIA,HELIO SMIDT,SN,AEROPORTO,07190100,SP,6477,5611203,"4761001,4729602,4619200,4635499,4639701,4772500,4763601,4783102,4774100,4649499,4729699,4763602,4723700,4751201,4753900,4781400"
24703984,2,,AREA,GLEBA CACHOEIRA E CATINGUEIRO,S/N,AREA RURAL DE BATATAIS,14319899,SP,6217,0113000,"0121101,6462000"
27164713,2,,SITIO,4 PRIMOS II,S/N,CORREGO DO GALANTE,17960000,SP,6733,0113000,0151201
23855999,2,,RODOVIA,HELIO SMIDT,SN,AEROPORTO,07190100,SP,6477,5611203,"4761001,4729602,4619200,4635499,4639701,4772500,4763601,4783102,4774100,4649499,4729699,4763602,4723700,4751201,4753900,4781400"
23096011,2,JOSE ROBERTO OLIVEIRA GARCIA II,AVENIDA,BRASIL,600,BOQUEIRAO,11701090,SP,6921,4110700,
26771882,1,,AVENIDA,PDE PEREIRA DE ANDRADE,607,BOACAVA,05469000,SP,7107,8511200,"9313100,8550302,8591100,8592999"
26649045,2,W7 BRASIL NEGOCIOS INTELIGENTES,ESTRADA,DO PAVOEIRO,8870,QUINTA DIVISAO,08675970,SP,7151,6821801,
24683637,2,PLANALTO POSTURA AVICULTURA LTDA,AVENIDA,MARGINAL DA BR - 153,SN,DISTRITO INDUSTRIAL,15440000,SP,6761,0155502,
26307659,2,LEOPOLDO 1201,RUA,LEOPOLDO COUTO DE MAGALHAES JUNIOR,1201,ITAIM BIBI,04542011,SP,7107,4110700,
26546923,2,,AVENIDA,MARCOS PENTEADO DE ULHOA RODRIGUES,939,TAMBORE,06460040,SP,6213,7020400,"7490104,8219999,8211300,8291100,6499999,6619399,6463800"
26384514,2,,RUA,PAULO VARCHAVTCHIK,S/N,APARECIDINHA,18087190,SP,7145,0151201,
25219440,2,,RUA,JOSE BONIFACIO,200,CENTRO,11310080,SP,7121,5223100,
27274716,2,,ESTRADA MUNICIPAL,BALSAMO A ENGENHEIRO BALDUINO,KM 8,FAZENDA TAQUARUCU,15150000,SP,6729,0139306,
