cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
00360305,2,AGENCIA BORDA DO CAMPO/SP,AVENIDA,ALVARO GUIMARAES,307,PLANALTO,09890001,SP,7075,6423900,
00020777,1,,AVENIDA,AMADOR AGUIAR,700,JARAGUA,02998020,SP,7107,8299799,"4520001,6202300,6399200,6621502,7320300,7490104,7490199,8599604"
00000048,1,VIRTUDE PLENA,RUA,NUCLEO BANDEIRANTE,125,JARDIM PAQUETA ZONA NORTE,02952150,SP,7107,9430800,"9493600,9499500,8511200"
00000410,1,MERIEUX NUTRISCIENCES,RUA,VIGARIO TAQUES BITTENCOURT,63,SANTO AMARO,04755060,SP,7107,7120100,"6202300,7210000,7490199,8599604"
00000633,1,,RUA,GUARARAPES,1909,BROOKLIN PAULISTA,04561004,SP,7107,9430800,"9493600,9499500,8550302"
00000645,1,,RUA,DR ROQUE MARCHESE,246,PRQ SAO PAULO,04843180,SP,7107,9491000,
03300531,1,,RUA,MATEUS GROU,586,PINHEIRO,05415040,SP,7107,8112500,
01652837,1,,RUA,BENJAMIM REIS,75,MOOCA,03178060,SP,7107,8112500,
01653222,1,,RUA,MESSIA  ASSU,358,ITARARE,11320130,SP,7121,8112500,
03301537,1,,AVENIDA,AZEVEDO,467,VILA AZEVEDO,03308000,SP,7107,8112500,
01653722,1,,RUA,TUPI,267,SANTA CECILIA,01233001,SP,7107,4110700,
03302039,1,,ESTRADA,DO CRUZEIRO,8250,PUNUNDUVA,06723220,SP,6361,9491000,
03302139,1,ENTIDADE RELIGIOSA,RUA,BARAO DA CUNHA DO ARARIPE,02,JD. SABIA,04856240,SP,7107,9491000,
03302453,1,"PHD - PATOLOGIA, HISTOLOGIA E DIAGNOSTICO",RUA,MADRE CABRINI,43,VILA MARIANA,04020000,SP,7107,8640201,8630503
03302607,1,,RUA,VISCONDE DO RIO BRANCO,586,CIDADE ALTA,13419115,SP,6875,4120400,"4399101,7112000,4299501,7410202"
00002765,1,,AVENIDA,MIGUEL ESTEFNO,289,SAUDE,04301010,SP,7107,4617600,
01655013,1,AMAR,RUA,SONIA DE MELO BATISTA,12,JD MONTE SION,08613140,SP,7151,8800600,8511200
00779721,2,,AVENIDA,DAS NACOES UNIDAS,4777,LAPA,05477000,SP,7107,5914600,"5611203,7312200,7319099,9329804,4713004"
00005063,1,,RUA,TENENTE ANTONIO JOAO,514,CERAMICA,09530460,SP,7077,2829199,"4669901,3312102,3314702,3314703"
03305061,1,MADRIGAL IN CASA,RUA,ANTONIO JOSE RIBEIRO JUNIOR,95,BONFIM,13070728,SP,6291,9001902,9001903
01657288,1,,AVENIDA,QUATORZE DE DEZEMBRO,2846,VILA RAMI,13206105,SP,6619,4639701,"4686902,4665600,7739099,4637199"
00005599,1,MILENIO ENGENHARIA E SERVICOS,AVENIDA,BRIGADEIRO FARIA LIMA,2369,JARDIM PAULISTANO,01452000,SP,7107,4321500,"3312102,3313901,3314707,3314710,3811400,3812200,4120400,4211102,4213800,4221902,4221903,4221904,4221905,4313400,4322301,4322302,4322303,4329103,4329104,4329199,4330401,4330404,4391600,4399101,4399103,4645101,4649401,4652400,4663000,4669999,4673700,4679601,4679699,4729699,4742300,4744001,4744099,4751201,4752100,4753900,4757100,4759899,4761003,4763601,4773300,4781400,4789005,4923002,4924800,6110803,6190602,6204000,6209100,6319400,7112000,7711000,7719599,7721700,7732201,7733100,7739099,7820500,8020001,8111700,8130300,8211300,8230001,8592999,8599603,8599699,9319101,9511800"
03305689,1,,RUA,POCEIRO CARLOS ROMAO,144,LOTEAMENTO SEM DENOMINACAO,13348632,SP,6511,9430800,"9493600,9499500"
03305705,1,,RUA,JOSE GIORDANO,784,JARDIM NORDESTE-PENH,03694010,SP,7107,9499500,
00005787,1,,RUA,MARIA LUIZA,26,PIRAPORINHA,09951330,SP,6377,2222600,7020400
03305905,1,MOBEL MORETTO DISTRIBUIDORA,ESTRADA MUNICIPAL,JOSE CORREA DE MORAES,2895,CHAPADA GRANDE,18215410,SP,6547,4635402,"4635499,4636202,4639701,4646002,4649408,4692300,4930202"
03306462,1,,AVENIDA,PRES JUSCELINO KUBITSCHEK,360,VILA NOVA CONCEICAO,04543000,SP,7107,6470101,
00006615,1,,RUA,VICTORIO PRIMON,  66,BAIRRO DO LIMAO,02550050,SP,7107,2599399,"2599301,3292202,3299003,3319800,3314713"
03307690,1,APF,RUA,DONA ANTONIA DE QUEIROS,549,CONSOLACAO,01307014,SP,7107,9499500,
03308030,1,,RUA,ROBERTO VENTUROLE,898,CIDADE ARACILIA,07250015,SP,6477,4662100,"2852600,3314715,3314717,3821100,4391600,4399104,4663000,6463800,7112000,7490104,7732201,7739099,8299799"
01660334,1,,RUA,AMERICO BRASILIENSE,1747,CHAC.STO ANTONIO,04715003,SP,7107,1821100,
03310062,1,SUPERTEC EQUIPAMENTOS DE PROTECAO LTDA,RUA,GAIVOTA,111,JARDIM SANTA LUCIA,13236172,SP,6293,2311700,"4530701,4530703,4679603,4743100,6463800,7120100,8211300,8299799"
03310699,1,,ESTRADA,MUNICIPAL DO RONCAGLIA,450,CHAC.SAO JOAQUIM,13273609,SP,7225,8112500,
03310835,1,CONDOMINIO RESIDENCIAL NOVA MICHIGAN,TRAVESSA,APARECIDA MARIA CONSIGLIO,170,JD.NOVA MICHIGAN,12225400,SP,7099,8112500,
01662505,1,,RUA,PANTOJO,1353,ALTO DA MOOCA,03343000,SP,7107,8112500,
03310989,1,,RUA,FABRICIO CORREIA DE TOLEDO,258,JD. SHANGRI-LA,12283510,SP,6271,6010100,
03311158,1,,RUA,RANGEL PESTANA,15,CENTRO,08710240,SP,6713,8112500,
03311502,1,,AVENIDA,BRIGADEIRO FARIA LIMA,2152,JARDIM EUROPA,01452002,SP,7107,6462000,
00035107,1,,RUA,DOMINGOS RODRIGUES,15,LAPA,05075000,SP,7107,8112500,
01664588,1,,RUA,PEDROSO ALVARENGA,1046,ITAIM,04531012,SP,7107,8112500,
03313237,1,,RUA,MARQUES DE ITU,408,VILA BUARQUE,01223000,SP,7107,8112500,
03313294,1,,RUA,LAVINIO SALLES ARCURI,421,CASA VERDE ALTA,02564000,SP,7107,9491000,
03313469,1,FULLGEO DIAGNOSTICO E REMEDIACAO AMBIENTAL,RUA,ADIB AUADA,35,JARDIM LAMBRETA,06710700,SP,6361,7119799,"3701100,4120400,4789099"
03313562,1,,RUA,BOROROS,166,HIGIENOPOLIS,13424377,SP,6875,2861500,"3314705,3319800,3321000"
01665095,1,ASSOCIACAO BENJAMIM CONSTANT,RUA,SALDANHA MARINHO,35,VL MAGALHAES,18035050,SP,7145,9430800,"9493600,9499500"
00014061,1,ESFERAS SOFTWARE,RUA,GOMES DE CARVALHO,911,VILA OLIMPIA,04547003,SP,7107,6203100,
00014289,1,,RUA,ANTONIO DEMORI,614,JARDIM DO SOL,13155484,SP,6357,4930202,
00014948,1,SLAKER,RUA,COMENDADOR ABDO SCHAHIN,30,CENTRO,01023050,SP,7107,4649499,"4642701,4649404,4649410,4755503,4751201,4763603,4763602,4763601,4763604,5211799"
03315573,1,,AVENIDA,DAS ESMERALDAS,105,VILA ASSUMPCAO NETO,13940000,SP,6109,8112500,
03315632,1,,AVENIDA,PRESIDENTE JUSCELINO,330,JD. CAMPOS ELISEOS,13058340,SP,6291,8299799,"6399200,7410299,7490105,7490199,8219999,8299703,8299707"
00015403,1,,RUA,CARMO DO RIO VERDE,241,SANTO AMARO,04729010,SP,7107,4651601,4651602
01667225,1,,RUA,BARTIRA,1052,PERDIZES,05009000,SP,7107,8112500,
01668041,1,,RUA,SEBASTIAO TITO,368,VILA MARIANA,13260000,SP,6741,9521500,"4321500,4322301,4512901,4616800,4617600,4619200,4752100,4757100,6204000,7319002,7319003,7490104,9512600"
01668926,1,CENTRO DE TRATAMENTO DO CALCULO,RUA,BELEM,462,CENTRO,15800280,SP,6323,8640213,8630502
03319016,1,,NÚCLEO,CIDADE DE DEUS,S/N,VILA YARA,06029900,SP,6789,6470101,
03319090,1,POSTO BELA VISTA,AVENIDA,RUI BARBOSA,1110,JARDIM VITORIA,17180000,SP,6483,4731800,"5611203,4729699,4530703,4520005,4732600"
00019245,1,,AVENIDA,SAO JOAO,1845,ESPLANADA II,12242000,SP,7099,7020400,"8299799,4619200"
03320242,1,,RUA,BENEDITO DIAS DOS SANTOS,90,JD SABIA,06716530,SP,6361,4619200,
03321805,1,,RUA,DO ORFANATO,265 A,VILA PRUDENTE,03131010,SP,7107,7311400,"7319001,7319002,7319003,7319004,7319099"
00021622,1,,1A AVENIDA,WILSON FOLADOR,1885,DISTRITO INDUSTRIAL III,15910000,SP,6727,2539001,"2840200,3091102"
00021976,1,,AVENIDA,COMENDADOR ITALO MAZZEI,30,JARDIM OLIMPIA,17208550,SP,6607,4731800,"4520005,4729602,4732600,5611203"
03322423,1,LAGO AZUL,ESTRADA,VICINAL BURITAMA/PRAINHA,KM. 01,ZONA RURAL,15290000,SP,6263,9430800,"9493600,9499500"
00022096,1,ROSAPLAST-INDUSTRIA E COMERCIO,RUA,RIO GRANDE DO SUL,408,JARDIM SANTA LUZIA,14210000,SP,6653,4929902,4929999
03322505,1,,RUA,RUI BARBOSA,1774,VILA SEIXAS,14020083,SP,6969,8630503,
00022386,1,,FAZENDA,MATAO,S/N,SANTO ANTONIO,13400970,SP,6875,6810202,
03323394,1,,RUA,JACOB MEDEIROS DE MIRANDA,190,JARDIM UMUARAMA,05783100,SP,7107,8112500,
00022964,1,,ESTRADA,MUNICIPAL SANTA ELISA,SN,PAULO LUPINO,17360000,SP,7195,4731800,"4520006,4530703,4530704,4930203,4732600"
00023828,1,CELTICA VIAGENS E NEGOCIOS,RUA,SIMAO ALVARES,135,PINHEIROS,05417030,SP,7107,7911200,"6821801,6822600,7990200,6821802"
